Company,Ticker
CARGILL INCORPORATED, CARR
"CARGILL, INCORPORATED", CARR
"CARGILL, INC.", CARR
CARPENTER TECHNOLOGY CORPORATION, CRS
"SCHNITZER STEEL INDUSTRIES, INC.", SCHN
CATERPILLAR INC, CAT
"CEMEX, INC", CX
CEMEX INC, CX
CEMEX, CX
"CEMEX, INC", CX
"CEMEX, INC.", CX
CENTURY ALUMINUM COMPANY, CENX
"CF INDUSTRIES HOLDINGS, INC.", CF
"CF INDUSTRIES, INC.", CF
LYONDELLBASELL INDUSTRIES, LYB
"WASTE MANAGEMENT, INC.", WM
E. I DUPONT DE NEMOURS AND COMPANY, DD
E.I. DU PONT DE NEMOURS AND COMPANY, DD
E. I. DUPONT DE NEMOURS AND COMPANY, DD
E.I. DUPONT DE NEMOURS AND COMPAN, DD
"CASELLA WASTE SYSTEMS, INC.", CWST
"MERCK & CO., INC.", MRK
CHEVRON PHILLIPS CHEMICAL COMPANY LP, CPCH
CHEVRON CORPORATION, CVX
CONOCO PHILLIPS, COP
"CHIEF INDUSTRIES, INC.", CIF
CONOCO PHILLIPS, COP
SPECTRA ENERGY CORP, SE
"CHS, INC.", CHS
CHS INC., CHS
CELANESE CORPORATION, CE
CLEARWATER PAPER CORPORATION, CLW
COMMERCIAL METALS COMPANY, CMC
NORTHWESTERN ENERGY, NWE
CVR ENERGY, CVI
CONAGRA FOODS INC, CAG
REPUBLIC SERVICES, RSG
EXELON CORP, EXC
"SUMMIT MATERIALS, LLC", SUM
COOPER TIRE AND RUBBER CO, CTB
COOPER TIRE & RUBBER COMPANY, CTB
CORNING INCORPORATED, GLW
CORNING INC., GLW
COVANTA ENERGY CORPORATION, CVA
COVANTA HOLDING CORPORATION, CVA
COVANTA HOLDING CORPORATION, CVA
COVANTA HOLDING CORP, CVA
COVANTA ENERGY, CVA
COVANTA HOLDINGS, CVA
COVANTA HOLDINGS CORP, CVA
"DOMINION RESOURCES, INC.", D
BAYER GROUP, BAYN
INERGY PROPANE LP, NRG
CYTEC INDUSTRIES INC, CYT
"MDU RESOURCES GROUP, INC.", MDU
NRG ENERGY INC, NRG
SOUTHWESTERN ENERGY COMPANY, SWN
CAESARS ENTERTAINMENT CORPORATION, CZR
"TEXAS INDUSTRIES, INC", TXN
"NEXTERA ENERGY, INC.", NEE
OCCIDENTAL PETROLEUM CORPORATION, OXY
"NUSTAR ENERGY, L.P.", NS
SCANA CORPORATION, SCG
FLORIDA POWER AND LIGHT COMPANY, FPL
BERKSHIRE HATHAWAY INC, BRK.B
CARGILL INC, CARR
CARGILL INC., CARR
"CARGILL, INCORPORATED", CARR
THE MOSAIC COMPANY, MOS
BROOKFIELD RENEWABLE POWER, BEP
"BOISE, INC", BPI
CATERPILLAR INC, CAT
MARATHON PETROLEUM COMPANY LP, MPC
CENTERPOINT ENERGY RESOURCES CORP, CNP
E.I. DUPONT NEMOURS AND COMPANY, DD
"CHEVRON PHILLIPS CHEMICAL COMPANY, LP", CPCH
NV ENERGY, NVE
NV ENERGY, NVE
"EXTERRAN HOLDINGS, INC.", EXTN
"KINDER MORGAN ENERGY PARTNERS, L.P.", KMP
"CONAGRA FOODS, INC.", CAG
MARATHON, MRO
EL PASO ELECTRIC COMPANY, EE
"BERKSHIRE HATHAWAY, INC.", BRK.B
NRG ENERGY, NRG
OTTER TAIL CORPORATION, OTTR
NORTHWESTERN CORPORATION DBA NORTHWESTERN ENERGY, NWE
"MDU RESOURCES GROUP, INC.", MDU
"QEP RESOURCES, INC.", QEP
EXELON CORPORATION, EXC
MOHAWK INDUSTRIES, MHK
NEENAH ENTERPRISES INCORPORATED, NP
OCCIDENTAL PETROLEUM COMPANY, OXY
DES MOINES COUNTY REGIONAL WASTE COMMISSION, None
VALERO ENERGY CORPORATION, VLO
"ENERGYTRANSFER PARTNERS, L.P.", ETP
"DCP MIDSTREAM PARTNERS, LP", DCP
DOMTAR CORPORATION, UFS
DOW CHEMICAL COMPANY, DOW
WHITING PETROLEUM CORPORATION, WLL
DTE ENERGY COMPANY, DTE
REGENCY ENERGY PARTNERS LP, RGP
E.I. DUPONT DENEMOURS AND COMPANY, DD
E.I. DUPONT DE NEMOURS AND COMPANY, DD
DARLING INTERNATIONAL INC, DAR
NORTHWESTERN ENERGY CORPORATION, NWE
GENERAL MOTORS LLC, GM
DELEK US HOLDINGS, DKH
"DELTA AIR LINES, INC.", DAL
CORNING INC., GLW
REPUBLIC SERVICES INC, RSG
HARSCO, HSC
"EAST PENN MANUFACTURING CO., INC.", EPN
CONOCOPHILLIPS COMPANY, COP
EASTMAN CHEMICAL COMPANY, EMN
GENERAL ELECTRIC COMPANY, GE
LSB INDUSTRIES, LSB
"LSB INDUSTRIES, INC.", LSB
ELEMENTIS PLC, ELM
ELI LILLY AND COMPANY, LLY
CIMAREX ENERGY CO, XEC
CLIFFS NATURAL RESOURCES, CLF
"EOG RESOURCES, INC.", EOG
PPL CORPORATION, PPL
LYONDELLBASELL, LYB
LYONDELLBASELL, LYB
EXXON MOBIL OIL CORPORATION, XOM
EXXON MOBIL CORPORATION, XOM
EXXONMOBIL CORPORATION, XOM
SUNOCO INC, SUN
"PPG INDUSTRIES, INC.", PPG
"ENERGY PARTNERS OF DELAWARE, LTD.", EPD
THE DAYTON POWER & LIGHT COMPANY, DPL
EASTMAN CHEMICAL COMPANY, EMN
EASTMAN CHEMICAL CO, EMN
EASTMAN KODAK COMPANY, KODK
MADISON GAS AND ELECTRIC, MGE
THE EMPIRE DISTRICT ELECTRIC CO., EDE
PUGET SOUND ENERGY, PSE
BILL BARRETT CORPORATION, BBG
NUSTAR ENERGY LP, NS
BUNGE NORTH AMERICA, BG
MARATHON OIL CORPORATION, MRO
WAUSAU PAPER CORPORATION, WPP
VECTREN CORPORATION, VVC
E.I. DUPONT DE NEMOURS COMPANY, DD
FMC CORPORATION, FMC
FMC CORPORATION, FMC
J.M. SMUCKER COMPANY, SJM
FORD MOTOR COMPANY, F
FREEPORT-MCMORAN COPPER AND GOLD, FCX
FRESENIUS MEDICAL CARE NORTH AMERICA, FME
"PEPSICO, INC.", PEP
PEPSICO INC., PEP
PEPSICO, PEP
DAYTON POWER AND LIGHT COMPANY, DPL
"FREEPORT MCMORAN COPPER & GOLD, INC.", FCX
"CEMEX,INC", CX
GENERAL ELECTRIC CORPORATION, GE
GENERAL MILLS, GIS
APACHE CORPORATION, APA
PROCTER & GAMBLE, PG
IBM CORPORATION, IBM
GOODRICH CORPORATION, GR
THE GOODYEAR TIRE & RUBBER COMPANY, GT
"THE GOODYEAR TIRE & RUBBER COMPANY, INC.", GT
THE GOODYEAR TIRE & RUBBER CO., GT
"THE GOODYEAR TIRE & RUBBER COMPANY, INC", GT
W.R. GRACE& CO.-CONN., GRA
W.R. GRACE & CO.-CONN., GRA
GRAFTECH INTERNATIONAL LTD, GTF
"NATIONAL OILWELL VARCO, LP", NOV
GRAPHIC PACKAGING HOLDING COMPANY, GPK
"DCP MIDSTREAM PARTNERS, LP", DCP
GREEN PLAINS, GPN
GREEN PLAINS RENEWABLE ENERGY INC, GPN
GREEN PLAINS RENEWABLE ENERGY INC, GPN
GREEN PLAINS RENEWABLE ENERGY, GPN
"GREEN PLAINS RENEWABLE ENERGY, INC.", GPN
GREIF INC, GEF
"SANDRIDGE ENERGY, INC.", SD
GULFPORT ENERGY CORP, GPOR
PLAINS ALL AMERICAN GP LLC, PAA
"GLANBIA FOODS, INC.", GL
GLAXOSMITHKLINE, GSK
"MONTANA-DAKOTA UTILITIES, CO.", MDU
"GRAPHIC PACKAGING INTERNATIONAL, INC.", GPK
"GRAPHIC PACKAGINE INTERNATIONAL, INC.", GPK
"GREIF, INC", GEF
LOEWS CORPORATION, L
ACCURIDE CORPORATION, ACU
"CASELLA WASTE SYSTEMS, INC", CWST
"SUNOCO, INC.", SUN
"ALEXANDER & BALDWIN, INC.", ALEX
"HAWAIIAN ELECTRIC COMPANY, INC.", HE
"HAYNES INTERNATIONAL, INC.", HAYN
CHEVRON U.S.A. INC., CVX
ASHLAND INC., ASH
HEXCEL CORPORATION, HXL
ENBRIDGE US INC, ENB
HOLLYFRONTIER CORPORATION, HFC
HONEYWELL INTERNATIONAL INCORPORATED, HON
HORMEL FOODS CORPORATION, HRL
"HUNTINGTON INGALLS INDUSTRIES, INC.", HII
UNITED TECHNOLOGIES CORPORATION, UTX
CHESAPEAKE ENERGY CORPORATION, CHK
SOUTH JERSEY INDUSTRIES INC, SJI
"GREAT PLAINS ENERGY, INC.", GXP
"ENTERPRISE PRODUCTS OPERATING, LLC", EPD
EDISON INTERNATIONAL, EIX
OGE ENERGY CORPORATION, OGE
PUBLIC SERVICE ENTERPRISE GROUP INCORPORATED, PEG
"UGI ENERGY SERVICES, INC.", UGI
NORTHWESTERN CORPORATION, NWE
INTERNATIONAL FLAVORS AND FRAGRANCES INC, IFF
"MGP INGREDIENTS, INC.", MGPI
"SEACOR HOLDINGS, INC.", CKH
PENFORD CORP, PEN
INTEL CORPORATION, INTC
INTEL CORPORATION, INTC
INTERNATIONAL PAPER, IP
"INTREPID POTASH, INC.", IPI
"INTREPID POTASH, INC", IPI
"THE EMPIRE DISTRICT ELECTRIC, CO", EDE
DYNEGY INC, DYN
WEYERHAEUSER COMPANY, WY
INTERNATIONAL PAPER COMPANY, IP
"ENERGY TRANSFER PARTNERS, LP", ETP
CARGILL INC, CARR
FORTUNE BRANDS INC, FBHS
FORTUNE BRANDS CORP, FBHS
DEERE & COMPANY, DE
BERKSHIRE HATHAWAY, BRK.B
SMITHFIELD FOODS, SFD
JOY GLOBAL INC, JOY
KELLOGG COMPANY, K
KIMBERLY-CLARK CORPORATION - WORLD HEADQUARTERS, KMB
KIMBERLY-CLARK CORPORATION, KMB
"KMG CHEMICALS, INC.", KMG
KAPSTONE PAPER AND PACKAGING CORPORATION, KS
KOPPERS INC, KOP
"ALCOA, INC", AA
"CONAGRAFOODS, INC", CAG
ELI LILLY & COMPANY, LLY
"LINCOLN ELECTRIC HOLDINGS, INC.", LECO
LOCKHEED MARTIN CORPORATION, LMT
NOVELIS CORPORATION, NVL
"ANHEUSER-BUSCH, INBEV", BUD
THE LUBRIZOL CORPORATION, LZ
"NEXTERA ENERGY RESOURCES, LLC", NEE
LYONDELL BASELL, LYB
"KINDER MORGAN OPERATING PARTNERSHIP A""", KMP
SPECTRA ENERGY, SE
WILLIAMS CO., WMB
PROSPECT CAPITAL CORPORATION, PSEC
"BERSHIRE HATHAWAY, INC.", BRK.B
ALLIANT ENERGY, AL
MALLINCKRODT INC, MNK
MARTIN MARIETTA MATERIALS, MLM
"MARTIN MARIETTA MATERIALS, INC.", MLM
"DCP MIDSTREAM, L.P.", DCP
CONOCO PHILLIPS COMPANY, COP
"ONEOK PARTNERS, LP", OKS
"MEAD JOHNSON & COMPANY, LLC.", MJN
"KINDER MORGAN OPERATING LIMITED PARTNERSHIP A""", KMP
BRUNSWICK CORPORATION, BC
MGM RESORTS INTERNATIONAL, MGM
"MICRON TECHNOLOGY, INC.", MU
"SANDRIDGE ENERGY, INC.", SD
"MODERN LANDFILL, INC.", None
MONSANTO COMPANY, MON
"MORTON SALT, INC.", MSLT
MORTON SALT INC, MSLT
"XTO ENERGY, INC.", XTO
NEXTERA ENERGY RESOURCES, NEE
MERCK & CO. INC, MRK
POLYONE CORPORATION, POL
ALLIANT ENERGY CORPORATION, AL
SEMPRA ENERGY, SRE
MOHAWK INDUSTRIES INC, MHK
GREAT PLAINS ENERGY INCORPORATED, GXP
OIL-DRI CORPORATION OF AMERICA, ODC
"NAVISTAR, INC", NAV
"NEENAH PAPER, INC.", NP
NEWMONT USA LIMITED, NEM
NATIONAL FUEL GAS COMPANY, NFG
QUANEX BUILDING PRODUCTS, NX
NORFOLK SOUTHERN CORPORATION, NSC
COMPASS MINERALS, CMP
NOVARTIS PHARMACEUTICALS CORPORATION, NVS
NOVELIS INC., NVL
NOVELIS CORPORATION, NVL
NRG ENERGY INC, NRG
NUCOR CORPORATION, NUE
NUCOR STEEL CORPORATION, NUE
NUCOR CORPORATION, NUE
REX AMERICAN RESOURCES, REX
"NICOR, INC", GAS
"IDACORP, INC", IDA
NV ENERGY, NVE
OCCIDENTAL PETROLEUM CORPORATIONS, OXY
"ONEOK PARTNERSHIP, L.P.", OKS
OLIN CORPORATION, OLN
"OWENS-ILLINOIS, INC.", OI
"OWENS CORNING, INC.", GLW
OWENS CORNING, GLW
"OWENS-ILLINOIS, INC", OI
OCCIDENTAL PETROLEUM  CORPORATION, OXY
USG CORPORATION, USG
JOY GLOBAL, JOY
JOY GLOBAL INC, JOY
MONSANTO, MON
PACKAGING CORPORATION OF AMERICA, PKG
CAMPBELL SOUP COMPNAY, CPB
PACIFIC GAS AND ELECTRIC COMPANY, PCG
"PFIZER, INC.", PFE
"ALTRIA GROUP, INC.", MO
CONOCOPHILLIPS CO, COP
"PPG INDUSTRIES, INC", PPG
"PPG INDUSTRIES, INC.", PPG
"PRAXAIR, INC.", PX
"PRAXAIR, INC", PX
THE PROCTER & GAMBLE COMPANY, PG
"CATERPILLAR, INC.", CAT
PBF ENERGY, PBF
ENTERPRISE PRODUCTS OPERATING LP, EPD
PFIZER INC, PFE
PFIZER, PFE
"SUNOCO, INC", SUN
PIKE COUNTY FISCAL COURT DEPARTMENT OF WASTE, None
"ENTERPRISE PRODUCTS OPERATING, L.P.", EPD
PORTLAND GENERAL ELECTRIC, POR
"PRAXAIR,INC", PX
"WASTE CONNECTIONS, INC", WCN
QUALCOMM INCORPORATED, QCOM
"QUAD/GRAPHICS, INC.", QUAD
REYNOLDS AMERICAN INC, RAI
"RAYONIER, INC", RYN
REC SILICON INC, RSI
TESORO CORPORATION, TSO
"STEEL DYNAMICS, INC.", STLD
TYSON FOODS INC, TSN
"ROLLS-ROYCE NORTH AMERICA HOLDINGS, INC.", RR
AVISTA CORPORATION, AVA
TRANSCANADA CORPORATION, TRP
THE WALT DISNEY COMPANY, DIS
"TYSON FOODS, INC", TSN
TYSON FOODS, TSN
CHENIERE ENERGY INC, LNG
SAFETY-KLEEN SYSTEMS INC, SKS
"NRG ENERGY, INC", NRG
CONOCOPHILLIPS COMPANY, COP
HESS CORPORATION, HES
GRAFTECH INTERNATIONAL LTD, GTF
SENSIENT TECHNOLOGIES CORPORATION, SXT
"SANDRIDGE ENERGY, INC", SD
CYPRESS SEMICONDUCTOR CORPORATION, CY
"SMITHFIELD FOODS, INC", SFD
"MACQUARIE INFRASTRUCTURE COMPANY, LLC", MIC
CATERPILLAR, CAT
SONOCO PRODUCTS COMPANY, SON
CAVANTA ENERGY CORPORATION, CVA
SOUTHWIRE COMPANY, SWR
"MINERALS TECHNOLOGIES, INC.", MTX
"SPIRIT AEROSYSTEMS HOLDINGS, INC.", SPR
"STEEL DYNAMICS, INC.", STLD
"STEEL DYNAMICS, INC", STLD
"STEEL DYNAMICS, INC.", STLD
STEELCASE INC, SCS
STEPAN COMPANY, SCL
"LEGGETT & PLATT, INC.", LEG
ENBRIDGE ENERGY PARTNERS, EEP
GOODYEAR TIRE & RUBBER CO, GT
SYNGENTA CORPORATION, SYT
SEABOARD CORPORATION, SEB
EXXONMOBIL, XOM
"MARKWEST ENERGY PARTNERS, LP", MWE
SONOCO PRODUCTS COMPANY, SON
CALPINE CORPORATION, CPN
"ENBRIDGE US, INC", ENB
"TEXAS INDUSTRIES, INC", TXN
"SUPERIOR INDUSTRIES INTERNATIONAL, INC.", SUP
CHEVRON CORP, CVX
"BERKSHIRE HATHAWAY, INC", BRK.B
"ATLAS PIPELINE PARTNERS, L.P.", APL
"ATLASPIPELINE PARTNERS, LP", APL
"CF INDUSTRIES, INC", CF
CMS ENERGY CORPORATION, CMS
"TETRA TECHNOLOGIES, INC.", TTI
TETRA TECHNOLOGIES INCORPORATED, TTI
TEXAS INSTRUMENTS INCORPORATED, TXN
TEXTRON INC, TXT
BELDEN HOLDING & ACQUISITION COMPANY, BDC
BOEING COMPANY, BA
UNITED STATES STEEL CORPORATION, X
THE TIMKEN COMPANY, TKR
TITAN INTERNATIONAL INC, TWI
TITAN INTERNATIONAL, TWI
EXXON MOBIL CORPORATION, XOM
TPC GROUP INC, TPG
TRIUMPH GROUP INC, TGI
TRONOX INC, TROX
NEWMONT MINING CORPORATION, NEM
"TYSON FOODS, INC.", TSN
"TYSON FOODS, INC.", TSN
TYSON FOODS INCORPORATED, TSN
TARGA RESOURCES CORPORATION, TRGP
"THE GOODYEAR TIRE & RUBBER CO, INC", GT
CONOCOPHILLIPS, COP
U.S. SILICA COMPANY, SLCA
"COVANTA ENERGY, INC.", CVA
"MUELLER WATER PRODUCTS, INC.", MWA
"UNIVERSAL STAINLESS & ALLOY PRODUCTS, INC.", USAP
UNITED STATES GYPSUM COMPANY, USG
U.S. GYPSUM, USG
UNITED STATES GYPSUM COMPANY, USG
UNITED STATES GYPSUM COMPANU, USG
UNITED STATES STEEL CORPORATION, X
UNITED STATES STEEL CORPORATION, X
U. S. STEEL CORPORATION, X
UNITED STATES STEEL, X
"UNITED CONTINENTAL HOLDINGS, INC", UAL
VERSO PAPER CORPORATION, VRS
"VISKASE COMPANIES, INC", VIS
VALERO, VLO
VALERO CORPORATION, VLO
MARATHON OIL COMPANY, MRO
FAIRMOUNT MINERALS LTD, FMI
"WESTAR ENERGY, INC.", WR
WESTLAKE CHEMICAL CORPORATION, WLK
WESTLAKE CHEMICAL CORP., WLK
WASTE MANAGEMENT INC, WM
WASTE MANAGEMENT INC, WM
WASTE MANAGEMENT, WM
WHIRLPOOL CORPORATION, WHR
WHIRLPOOL CORPORATION, WHR
"EXTERRAN HOLDINGS, INC.", EXTN
"WILLIAMS PARTNERS, L.P.", WPZ
ILLINOIS TOOL WORKS, ITW
PFIZER INC., PFE
AMERICAN ELECTRIC POWER CORP, AEP
WGL HOLDINGS INC, WGL
MARTIN MIDSTREAM PARTNERS L.P., MMLP
MGE ENERGY INC, MGEE
WASTE MANAGEMENT INC, WM
MONTANA DAKOTA UTILITIES COMPANY, MDU
BLACK HILLS ENERGY, BHE
"XTO ENREGY, INC.", XTO
XEROX CORPORATION, XRX
KINDER MORGAN PRODUCTION COMPANY LP, KMP
